id,url,status,redirect_url,is_domain_for_sale,is_domain_expired,is_domain_parking,is_domain_managed,is_seo_spam,is_admin_panel
2467495,http://10-12.jp/index.html,200,,False,False,False,False,False,False
4083925,http://1-zeroone.co.jp/index.html,200,https://1-zeroone.co.jp/index.html,False,False,False,False,False,False
2569747,http://1-maru.co.jp,200,https://www.1-maru.co.jp/,False,False,True,False,False,False
4656554,http://1-zeroone.co.jp/yunrinbou/index.html,200,https://1-zeroone.co.jp/yunrinbou/index.html,False,False,False,False,False,False
4849376,http://10-tec.com/,200,https://juso-tec.com/,False,False,False,False,False,False
4569647,http://10-2.co.jp,200,https://www.10-2.co.jp/,False,False,True,False,True,False
5302582,http://1000jin.jp/index.htm,404,,False,False,False,False,False,False
1784342,http://100.or.jp/,200,,False,False,True,False,False,False
5233853,http://100-nenhonpo.com/,200,,False,False,True,False,False,False
5343459,http://1000nensha.co.jp/,200,,False,False,False,False,False,False
2929557,http://1000show.jp,200,,False,False,False,False,False,False
2405799,http://1009.co.jp/index.html,200,,False,False,False,False,False,False
3075108,http://1000leavesdining.jimdo.com/,404,,False,False,False,False,False,False
1142251,http://1000000v.jp,200,https://1000000v.jp/,False,False,True,False,False,False
4004293,http://100shiki.co.jp,200,,False,False,False,False,False,False
576356,http://1000s.com,200,https://1000s.com/,False,False,False,False,False,False
35917,http://100kouso.com/,200,,False,False,True,False,False,False
3515278,http://100bancan.wixsite.com,404,,False,False,False,False,False,False
921517,http://100manboshi.com/,200,,False,False,False,False,False,False
1457317,http://100a.jp/,403,,False,False,False,False,False,False
4114806,http://100kannon.com/,200,https://100kannon.com/,False,False,False,False,False,False
664822,http://1010.co.jp,200,,False,False,False,False,False,False
4659271,http://103-yama.jp,200,,False,False,False,False,False,False
5130696,http://104.com/name_0986370637/,404,,False,False,False,False,False,False
1288561,http://100ltd.jp,200,http://www.100ltd.jp/,False,False,True,False,True,False
1218414,http://1010kanekyu.com/index.html,404,,False,False,False,False,False,False
412127,http://10club.jp,200,,False,False,False,False,False,False
642437,http://109chan.com/,200,,False,False,False,False,False,False
1999124,http://100ninriki.co.jp/,200,https://100ninriki.co.jp/staffing/,False,False,False,False,False,False
3247472,http://10ka.net,200,,False,False,False,False,False,False
2646243,http://1059.hp.peraichi.com,200,https://1059.hp.peraichi.com/,False,False,False,False,False,False
1722825,http://105.co.jp/,200,https://105.co.jp/,False,False,False,False,False,False
5274695,http://10330.jp,200,https://10330.jp/,False,False,False,False,False,False
2759336,http://10omusubi20.starfree.jp/,200,,False,False,False,False,False,False
2336723,http://11-eye.com/,200,,False,False,False,False,False,False
4157098,http://10ken.jp,200,,False,False,False,False,False,False
5386295,http://10ai-konan.jp/,200,https://10ai-konan.jp/,False,False,True,False,True,False
3307015,http://1105.co.jp/,200,,False,False,False,False,False,False
4165025,http://1129maruichi.co.jp/,200,,False,False,False,False,False,False
3904529,http://10po.jp,200,https://10po.jp/,False,False,False,False,False,False
2476154,http://117nishiken.com/,200,,False,False,False,False,False,False
5315464,http://10kkoku.com/,200,https://10kkoku.com/,False,False,False,False,False,False
1674502,http://114-daiiti.ac.jp,200,,False,False,False,False,False,False
3268911,http://1129.co.jp,200,,False,False,True,False,False,False
1248891,http://1188.co.jp,200,,False,False,False,False,False,False
770969,http://118118.co.jp,200,https://118118.co.jp/,False,False,False,False,False,False
3955547,http://111unit.co.jp,200,http://www.111unit.co.jp/,False,False,False,False,False,False
1843216,http://1186.co.jp/,200,,False,False,False,False,False,False
2114456,http://11543.info/,200,https://11543.info/,False,False,True,False,True,False
1707838,http://1188-garden.co.jp/,200,https://1188-garden.co.jp/,False,False,False,False,False,False
2470813,http://11toshi.co.jp,403,,False,False,False,False,False,False
1092864,http://1198.jp,200,https://isystem1198.jp/,False,False,False,False,False,False
115308,http://12-12.jp/,200,,False,False,False,False,False,False
392764,http://11sakujin.wix.com/momotsujiss,404,,False,False,False,False,False,False
